canonical,synonyms,kind,excluded_ingredient_codes,collision_rule,status,source
땅콩,피넛|peanut,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,골든셋 GS-19 (userstory.md:130·138)
갑각류,새우|게|crustacean,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,골든셋 GS-20
[확인필요: 8대 알레르겐 3번째 라벨],,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,open,골든셋 GS-21 — 라벨이 원문에서 확인되지 않음
[확인필요: 8대 알레르겐 4번째 라벨],,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,open,골든셋 GS-22
[확인필요: 8대 알레르겐 5번째 라벨],,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,open,골든셋 GS-23
[확인필요: 8대 알레르겐 6번째 라벨],,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,open,골든셋 GS-24
[확인필요: 8대 알레르겐 7번째 라벨],,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,open,⑤ 5절 K-3 ⓑ — 8종 중 2종만 원문 확인
[확인필요: 8대 알레르겐 8번째 라벨],,allergen,[확인필요: 제외 식재료 코드 체계],union_all_codes,open,⑤ 5절 K-3 ⓑ — 8종 중 2종만 원문 확인
일반,,diet_type,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,⑤ 5절 K-3 ⓑ 식이 유형 5종
채식,베지테리언|vegetarian,diet_type,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,⑤ 5절 K-3 ⓑ 식이 유형 5종
비건,vegan,diet_type,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,⑤ 5절 K-3 ⓑ 식이 유형 5종 · 골든셋 GS-25
할랄,halal,diet_type,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,⑤ 5절 K-3 ⓑ 식이 유형 5종
기타,,diet_type,[확인필요: 제외 식재료 코드 체계],union_all_codes,label_confirmed,⑤ 5절 K-3 ⓑ 식이 유형 5종
